id,text,timestamp
1,I love the new features of this product!,2024-12-13 10:00:00
2,"The service was okay, nothing special.",2024-12-13 11:30:00
3,I am not happy with the recent changes.,2024-12-13 12:45:00
4,"Great experience, would recommend!",2024-12-13 13:15:00
5,"Worst purchase ever, very disappointed.",2024-12-13 14:00:00
6,The product exceeded my expectations.,2024-12-13 14:30:00
7,"Not as advertised, very misleading.",2024-12-13 15:00:00
8,Customer support was extremely helpful.,2024-12-13 15:45:00
9,The delivery was on time and smooth.,2024-12-13 16:00:00
10,I will never buy from this company again.,2024-12-13 16:30:00
11,The interface is user-friendly and intuitive.,2024-12-13 17:00:00
12,The product is decent but could use some improvements.,2024-12-13 17:30:00
13,"Fantastic value for money, I'm happy with it.",2024-12-13 18:00:00
14,I have had better experiences elsewhere.,2024-12-13 18:30:00
15,"The quality is amazing, and the design is beautiful.",2024-12-13 19:00:00
